"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 11 02:55:58 UTC 2023","Sat Nov 11 02:56:56 UTC 2023","58331","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sat Nov 11 03:34:28 UTC 2023","Sat Nov 11 03:34:39 UTC 2023","11233","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Nov 11 04:07:11 UTC 2023","Sat Nov 11 04:07:14 UTC 2023","2698","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sat Nov 11 04:28:37 UTC 2023","Sat Nov 11 04:30:13 UTC 2023","96342","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sat Nov 11 02:55:34 UTC 2023","Sat Nov 11 02:55:54 UTC 2023","19833","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sat Nov 11 02:52:19 UTC 2023","Sat Nov 11 02:52:37 UTC 2023","18005","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Nov 11 03:06:10 UTC 2023","Sat Nov 11 03:06:13 UTC 2023","2946","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Nov 11 04:30:32 UTC 2023","Sat Nov 11 04:31:27 UTC 2023","55682","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sat Nov 11 04:41:38 UTC 2023","Sat Nov 11 04:41:49 UTC 2023","11603","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sat Nov 11 02:53:09 UTC 2023","Sat Nov 11 02:53:31 UTC 2023","22520","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Sat Nov 11 03:35:06 UTC 2023","Sat Nov 11 03:35:08 UTC 2023","2836","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
